cs_b10256_TKT,TKT
cs_j12034_WBP4,WBP4
cs_q4757_CA3,CA3
cs_b10606_RARS,RARS
cs_b10468_ACTR3B,ACTR3B
cs_j8582_DVL1,DVL1
cs_q6798_SMU1,SMU1
cs_j10690_C11orf48,C11orf48
cs_b12375_GDI1,GDI1
cs_q4953_CANT1,CANT1
cs_j13881_RGS1,RGS1
cs_q6749_SMN1,SMN1
cs_b8125_FHL5,FHL5
cs_j13634_PEX11A,PEX11A
cs_j6825_AASDHPPT,AASDHPPT
cs_j3909_ORM1,ORM1
cs_b8346_HSFY1,HSFY1
cs_b6107_PLCXD1,PLCXD1
cs_b10170_CNTN4,CNTN4
cs_q4677_SPEM1,SPEM1
cs_j4222_DNASE1L1,DNASE1L1
cs_j9411_SLC5A2,SLC5A2
cs_j11068_FRYL,FRYL
cs_b11006_THOC3,THOC3
cs_j13064_CHST15,CHST15
cs_q9249_NOP16,NOP16
cs_j12035_TRIML2,TRIML2
cs_j12405_PDE4DIP,PDE4DIP
cs_q5732_GOLGA4,GOLGA4
cs_j13970_ABCB5,ABCB5
cs_j12795_LEPREL2,LEPREL2
cs_j11769_PTPDC1,PTPDC1
cs_b4164_C11orf74,C11orf74
cs_b4141_GGT1,GGT1
cs_j3574_LRRC28,LRRC28
cs_b11184_ABHD15,ABHD15
cs_q5337_AKR7A3,AKR7A3
cs_b12712_CTNNBIP1,CTNNBIP1
cs_j7063_GTF2H2D,GTF2H2D
cs_q6830_USP30,USP30
cs_j10257_CAPN5,CAPN5
cs_j11795_PHACTR2,PHACTR2
cs_j6643_CAMK1D,CAMK1D
cs_b5158_CTRC,CTRC
cs_b6364_SSBP3,SSBP3
cs_b8894_CRYBA4,CRYBA4
cs_j8974_GNB5,GNB5
cs_j9725_CAT,CAT
cs_j12395_FLT1,FLT1
cs_j10445_SLC2A5,SLC2A5
cs_b8471_GRK6,GRK6
cs_j12238_PRPSAP2,PRPSAP2
cs_b11183_CCDC6,CCDC6
cs_j8588_ECSIT,ECSIT
cs_b9454_YTHDF1,YTHDF1
cs_b7668_MCART1,MCART1
cs_q8491_CNTN4,CNTN4
cs_q4521_CA5B,CA5B
cs_j9371_OSGIN1,OSGIN1
cs_b6167_AKR1C4,AKR1C4
cs_j9190_VDAC1,VDAC1
cs_j9928_C20orf203,C20orf203
cs_q8005_TYW3,TYW3
cs_j10295_CSN2,CSN2
cs_b10576_ZWILCH,ZWILCH
cs_j6156_C16orf93,C16orf93
cs_j9828_JOSD2,JOSD2
cs_j8957_C13orf16,C13orf16
cs_j10523_SIX2,SIX2
cs_b10701_SPAST,SPAST
cs_q8604_GALK2,GALK2
cs_j11032_TRNT1,TRNT1
cs_j12263_CCL25,CCL25
cs_j10378_PAPSS1,PAPSS1
cs_j13368_SLC25A48,SLC25A48
cs_q6987_NUDT12,NUDT12
cs_b7784_ABO,ABO
cs_q7786_SLC20A1,SLC20A1
cs_j4591_SIRT4,SIRT4
cs_j6592_KCMF1,KCMF1
cs_b10661_NRP1,NRP1
cs_b4004_ROPN1L,ROPN1L
cs_q5929_CLDN10,CLDN10
cs_q4343_GNAI1,GNAI1
cs_b10726_SFPQ,SFPQ
cs_q5381_PDLIM1,PDLIM1
cs_j11484_HSD3B2,HSD3B2
cs_q9601_DEFB4A,DEFB4A
cs_b11603_FSHR,FSHR
cs_q10112_RGS20,RGS20
cs_b11060_INMT,INMT
cs_q9784_G2E3,G2E3
cs_q5466_ACAA1,ACAA1
cs_j11530_CASP5,CASP5
cs_j8651_EID2B,EID2B
